id,title_romaji,title_english,title_native,description,voice_actor_names,format,episodes,duration,meanScore,popularity,source,countryOfOrigin,isAdult,startDate_month,startDate_day,genres,studios,is_sequel,has_sequel,prequel_count,prequel_popularity_mean,prequel_meanScore_mean,release_year,release_quarter
187585,Kero Kero Keroppi no Kyouryuu ga Deta,Kero Kero Keroppi no Kyouryuu ga Deta,けろけろけろっぴの恐竜がでた,"While playing hide and seek, Keroppi and the gang find some dinosaur bones. With the village elder they dig out more and put the bones back together and find out it was a baby dinosaur. In the nearby museum there is a mama dinosaur on display and as night falls the baby dinosaur's skeleton comes to life in search of its mother. The gang tries to help it reunite it and the cries of the baby dinosaur skeleton animate the mama's skeleton. Once together again their souls ascend to heaven and both skeletons become displayed lovingly at the museum.",Yoshiko Matsuo,OVA,1.0,30.0,46,49.0,UNKNOWN_SOURCE,JP,False,9.0,21.0,"[""Fantasy""]","[{""id"": 43061, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1992,3
187586,Kero Kero Keroppi no Sora wo Tobetara,Kero Kero Keroppi no Sora wo Tobetara,けろけろけろっぴの空をとべたら,"While playing with a kite, a bird is injured during its migration. The gang seeks help from a local pilot to help the bird make its journey.",Yoshiko Matsuo,OVA,1.0,30.0,41,38.0,UNKNOWN_SOURCE,JP,False,3.0,21.0,"[""Adventure""]","[{""id"": 43062, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1994,1
187587,Kero Kero Keroppi no Sora Tobu Yume no Fune ,Kero Kero Keroppi no Sora Tobu Yume no Fune ,けろけろけろっぴの空とぶゆめの船,Keroppi and friends get special tickets to ride a flying ship at night to look at the constellations. Whether they dreamt the same dream or encountered it for real is up interpretation.,Yoshiko Matsuo,OVA,1.0,30.0,49,44.0,UNKNOWN_SOURCE,JP,False,4.0,1.0,"[""Fantasy""]","[{""id"": 43063, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1992,2
187588,Kero Kero Keroppi no Tomodachi ni Narou yo,Kero Kero Keroppi no Tomodachi ni Narou yo,けろけろけろっぴの友だちになろうよ,Wink is a lovely snake. He is Keroppi's friend. Keroppi wants to introduce Wink to his other friends. His friends deem Wink is a dangerous animal. Will they accept him finally?,Yoshiko Matsuo,OVA,1.0,30.0,46,45.0,UNKNOWN_SOURCE,JP,False,2.0,21.0,"[""Fantasy""]","[{""id"": 43064, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1994,1
187589,Kero Kero Keroppi no Tomodachitte Ii na,Kero Kero Keroppi no Tomodachitte Ii na,けろけろけろっぴの友だちっていいな,A new kid moves to town for a short stay with his father. He's really good at playing the ocarina but difficult to befriend. A bird likes to listen to his music and when a storm arrives they all help the bird by placing it and its nest into a bird house; this helps them all form an everlasting friendship as he moves once again.,Yoshiko Matsuo,OVA,1.0,30.0,44,41.0,UNKNOWN_SOURCE,JP,False,5.0,1.0,"[""Fantasy""]","[{""id"": 43065, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1992,2
187590,Kero Kero Keroppi no Yowamushi-ouji no Daibouken,Kero Kero Keroppi no Yowamushi-ouji no Daibouken,けろけろけろっぴのよわむし王子の大冒険,Keroppi is blamed for the tomfoolery of others during a movie. As he runs home crying he is struck by lightening and transported to another world--just like in the movie! There he meets a cowardly prince and the both of them go on adventure to learn about courage and sticking up for oneself.,Yoshiko Matsuo,OVA,1.0,30.0,50,53.0,UNKNOWN_SOURCE,JP,False,5.0,21.0,"[""Fantasy""]","[{""id"": 43066, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1993,2
201851,Hangyodon no Parallel Daisakusen,Hangyodon no Parallel Daisakusen,ハンギョドンのパラレル大作戦,"Three-part series about Hangyodon and friend's time travel adventures.
<br><br>
This entry contains:<br>
1.<b>Kyouryuu Oukoku wa Oosawagi</b> (恐竜王国は大さわぎ)<br>
Hangyodon and company end up getting sent back to the past through Itaro's latest Time Closet invention and have themselves a prehistoric adventure!
<br><br>
2.<b>Mirai Sekai wa Oosawagi</b> (未来世界は大さわぎ)<br>
Hangyodon and his friends travel into the futuristic 25th century in order to stop Xian Long Bao and save Princess Kingyochan as well as her father, the emperor Chuuka Taijin. The gang might also run into a familiar face or two....
<br><br>
3.<b>Hana no Oedo wa Oosawagi</b> (花のお江戸は大さわぎ)<br>
Hangyodon, Sayuri, and Otamaro are tasked with going back in time to the Edo period at the insistence of rich old Sea-Otter and his ghostly ancestor to retrieve their golden Kannon statue heirloom. Once in the Edo period, Hangyodon and his friends learn of the Full-Moon Kozou, a thief said to soon steal the statue on the next full moon which is rapidly approaching... 
But just who is the real identity of this notorious thief? What does Kingyo-chan's Edo ancestor have to do with all of this? And will Hangyodon manage to retrieve the heirloom in one piece?
",Ryuusei Nakao|Rei Sakuma|Eiko Yamada|Tsutomu Kashiwakura|Miho Yoshida|Norio Wakamoto|Akio Ootsuka|Naoki Makishima,OVA,3.0,25.0,39,51.0,OTHER,JP,False,9.0,21.0,"[""Adventure"", ""Comedy"", ""Sci-Fi""]","[{""id"": 45399, ""isMain"": true, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1992,3
202387,Shounen Ashibe,Shounen Ashibe,少年アシベ,"After moving to a new town, a young boy comes across a lone baby seal. They become fast friends and enjoy everyday life together.",,OVA,6.0,25.0,35,27.0,MANGA,JP,False,1.0,21.0,"[""Comedy""]","[{""id"": 45414, ""isMain"": true, ""node"": {""id"": 22, ""name"": ""Nippon Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1991,1
203043,Slime Boukenki,The Adventures of Slaim,スライム冒険記,A short anime shown at the V Jump Festival '95. The special is based on the manga of the same name by Osamu Kaneko.,,SPECIAL,1.0,15.0,49,36.0,MANGA,JP,False,8.0,1.0,"[""Action"", ""Adventure"", ""Comedy"", ""Fantasy""]","[{""id"": 45465, ""isMain"": true, ""node"": {""id"": 10, ""name"": ""Production I.G"", ""isAnimationStudio"": true}}, {""id"": 45466, ""isMain"": false, ""node"": {""id"": 6570, ""name"": ""Shueisha"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1995,3
204392,Hikouki,Hikouki,ひこうき,Music video animated to the drawings of Shinji Satou to the song <i>Hikouki</i> by the band Fishmans.,,MUSIC,1.0,8.0,56,33.0,ORIGINAL,JP,False,4.0,15.0,[],[],False,False,0,0.0,0.0,1991,2
204627,MY CROSSROAD,MY CROSSROAD,MY CROSSROAD,"Chieko dreaming of being tomorrow's star, is an absent-minded and careless person, but has stronger passion than anybody else. Today as everyday, she's doing her best to get the role of heroine in the graduation play. A sweet, sweet story with a comical touch.",,OVA,1.0,15.0,27,27.0,MANGA,JP,False,4.0,21.0,"[""Comedy""]",[],False,False,0,0.0,0.0,1991,2
205615,Narara Superboard 2,Narara Superboard 2,날아라 슈퍼보드 2기,,,TV,13.0,24.0,35,25.0,MANGA,KR,False,10.0,18.0,"[""Action"", ""Adventure""]","[{""id"": 45880, ""isMain"": false, ""node"": {""id"": 7750, ""name"": ""KBS"", ""isAnimationStudio"": false}}, {""id"": 45881, ""isMain"": false, ""node"": {""id"": 7749, ""name"": ""Hanho Heung-Up"", ""isAnimationStudio"": true}}, {""id"": 45882, ""isMain"": true, ""node"": {""id"": 7749, ""name"": ""Hanho Heung-Up"", ""isAnimationStudio"": true}}]",True,True,1,22.0,55.0,1991,4
205616,Narara Superboard 3,Narara Superboard 3,날아라 슈퍼보드 3기,,,TV,13.0,24.0,35,25.0,MANGA,KR,False,12.0,11.0,"[""Action"", ""Adventure""]","[{""id"": 45883, ""isMain"": true, ""node"": {""id"": 7749, ""name"": ""Hanho Heung-Up"", ""isAnimationStudio"": true}}, {""id"": 45884, ""isMain"": false, ""node"": {""id"": 7750, ""name"": ""KBS"", ""isAnimationStudio"": false}}, {""id"": 45885, ""isMain"": false, ""node"": {""id"": 7749, ""name"": ""Hanho Heung-Up"", ""isAnimationStudio"": true}}]",True,True,1,14.0,35.0,1992,4
206048,Onigara,Onigara,鬼がら,"Long ago, there lived a young man named Yosuke in the village of Shiiba in Hyuuga.<br><br>
""I want enough money and possessions to live a luxurious life without having to work""<br><br>
Yohei abandoned his job in his impoverished village, where only barnyard millet, oxtail millet and beans could be grown. He fled into the mountains, where one night he witnessed a strange sight.<br><br>
A blue ogre clinging to a large cedar tree split its back, began to shed its skin and quickly transformed into a red ogre. Yosuke stole the shed skin, wore it and began committing crimes in the village.<br><br>
However, when he tried to take off the skin, he couldn't get it off no matter what he did...<br><br>

(Source: Official Website, translated)",,OVA,1.0,27.0,46,25.0,ORIGINAL,JP,False,12.0,22.0,[],"[{""id"": 46173, ""isMain"": true, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1994,4
206886,Kyouryuu Pikora,Kyouryuu Pikora,恐竜ピコラ,"Special animated short inspired by NHK's Minna no Uta program<br><br>

Pikora is a newborn baby dinosaur, but her mother is nowhere to be found. She sets off into the woods to find her.",,SPECIAL,1.0,5.0,33,25.0,ORIGINAL,JP,False,8.0,1.0,"[""Adventure""]","[{""id"": 46465, ""isMain"": false, ""node"": {""id"": 111, ""name"": ""NHK"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1995,3
207221,Eddy & Emmy no Initial Ring wa Futari de,Eddy & Emmy no Initial Ring wa Futari de,エディ&エミィのイニシャルリングは2人で,"As Eddy and Emmy's birthday is coming up, the two friends find themselves faced with dilemmas that threaten to put a damper on the special occasion; Emmy is chosen to perform with Cal, one of the most popular boys for the school festival and is busy with the auditions that come with it, while Eddy feels left out in all of the excitement.<br><br>

Will they find a way to pull through, or will the duo be forced to also give up their prized rings in the process?",,OVA,1.0,10.0,44,25.0,ORIGINAL,JP,False,5.0,21.0,[],"[{""id"": 46516, ""isMain"": false, ""node"": {""id"": 150, ""name"": ""Sanrio"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1993,2
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,"Enter a world in the distant future, where Bounty Hunters roam the solar system. Spike and Jet, bounty hunting partners, set out on journeys in an ever struggling effort to win bounty rewards to survive.<br><br>
While traveling, they meet up with other very interesting people. Could Faye, the beautiful and ridiculously poor gambler, Edward, the computer genius, and Ein, the engineered dog be a good addition to the group?",Kouichi Yamadera|Steven Blum|Massimo De Ambrosis|Viktor Neumann|Zoltán Juhász|Yann Pichon|Ja-Hyeong Koo|Guilherme Briggs|Yamil Atala|Genaro Vásquez|José Gilberto Vilchis|Megumi Hayashibara|Wendee Lee|Barbara De Bortoli|Barbara Szitás|Antje von der Ahe|Mi-Sook Jeong|Carmen Ambrós|Bérangère Jean|Miriam Ficher|Elsa Covián|Karla Falcón|Sherry Lynn|Unshou Ishizuka|Beau Billingslea|Philippe Roullier|Alfonso Ramírez|Ki-Hyun Kim|Karl Schulz|Nino Prester|Mauro Ramos|Ricardo Tejedo|Jonatas Carmona|Melissa Fahn|Aoi Tada|Isabel Martiñón|Ilona Brokowski|Patricia Legrand|Jeong-Hwa Yang|Gemma Donati|Leticia Celini|Norio Wakamoto|Skip Stellrecht|Roberto Chevalier|Szabolcs Pálmai|Marcos Patiño|Andreas Hosang|Jacques Albaret|William Viana|Rafael Pacheco|Andrés Gutiérrez Coto|Mary Elizabeth McGlynn|Gara Takashima|Orsolya Oláh|Susan Sindberg|Dulce Guerrero|Anke Reitzenstein|Eleonora De Angelis|Letícia Quinto|Kenyuu Horiuchi|Michael Gregory|Seung-Jun Kim|Charles Rettinghaus|Marcelo Campos|Luis Leonardo Suárez|Roberto Mendiola|Vittorio De Angelis|Jean-Claude Vandeville|Tsutomu Tareki|Paul St. Peter|Hans-Jürgen Dittberner|Márcio Simões|Abraham Vega|Eduardo Fonseca|Gaetano Varcasia|Thierry Kazazian|Miki Nagasawa|Lia Sargent|Rossella Acerbo|Angela Ringer|Cecília Lemes|Alicia Barragán|Monserrat Mendoza|Kenji Utsumi|Barry Stigler|Tatá Guarnieri|Miguel Ángel Ghigliazza|Mario Castañeda|Bruno Magne|Atsuko Tanaka|Nicole Edward|Carol Crespo|Mónica Manjarrez|Erica Edwards|Isabella Pasanisi|Chikao Ootsuka|Robert Axelrod|Klaus-Dieter Klebsch|Carlos Gesteira|Gerardo Reyero|Alejandro Villeli|Sandro Iovino|Bernard Demory|John Snyder|Yutaka Nakano|Martin Schmitz|César Soto|Jorge Vasconcellos|José Luis Orozco|Ricardo Brust|Dario Penne|Takehiro Koyama|Antônio Moreno|Leonardo Jose|Herman López|Mario Milita|Mona Marshall|Yumi Touma|Alessio Puccio|Pedro Alcântara|Jared Mendoza|Alan Fernando Velázquez|Kousei Hirota|Wellington Lima|Octavio Rojas|Ryuusei Nakao|Tom Fahn|Björn Schalla|Wendel Bezerra|Irwin Daayán|Arturo Castañeda|Riccardo Rossi|Constantin Pappas|Kappei Yamaguchi|Steve Staley|Lucas Gama|Michael Deffert|Maurizio Fiorentini|Masashi Ebara|Daran Norris|Nándor Holl|Marco Antônio Costa|Idzi Dutkiewicz|Ulises Zavala|Sandro Acerbo|Banjou Ginga|Kevin Seymour|Elcio Romar|Massimo Pizzirani|Ryuuzaburou Ootomo|Joe Romersa|Matthias Klages|Francisco Junior|Sandro Sardone|Óscar Flores|Yurika Hino|Katia Moraes|Heide Domanowski|Carol Valença|Laura Torres|Cristina Hernández|Cristina Boraschi|Nobuyuki Hiyama|Kirk Baily|Won-Hyeong Choi|Francesco Bulckaen|André Sauer|Perla Liberatori|Arisa Ogasawara|Patricia Ja Lee|Marjolaine Poulain|Isabella Simi,TV,26.0,24.0,85,231528.9000000004,ORIGINAL,JP,False,4.0,3.0,"[""Action"", ""Adventure"", ""Drama"", ""Sci-Fi""]","[{""id"": 1, ""isMain"": true, ""node"": {""id"": 14, ""name"": ""Sunrise"", ""isAnimationStudio"": true}}, {""id"": 2, ""isMain"": false, ""node"": {""id"": 23, ""name"": ""Bandai Visual"", ""isAnimationStudio"": false}}, {""id"": 3, ""isMain"": false, ""node"": {""id"": 233, ""name"": ""Bandai Entertainment"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1998,2
6,TRIGUN,Trigun,TRIGUN,"Vash the Stampede is a wanted man with a habit of turning entire towns into rubble. The price on his head is a fortune, and his path of destruction reaches across the arid wastelands of a desert planet. Unfortunately, most encounters with the spiky-haired gunslinger don't end well for the bounty hunters who catch up with him; someone almost always gets hurt - and it's never Vash.<br>
<br>
Oddly enough, for such an infamous fugitive, there's no proof that he's ever taken a life. In fact, he's a pacifist with a doughnut obsession who's more doofus than desperado. There's a whole lot more to him than his reputation lets on - Vash the Stampede definitely ain't your typical outlaw.<br>
<br>
(Source: Funimation)",Johnny Yong Bosch|Masaya Onosaka|Kouki Miyata|Bryce Papenbrook|Bruno Magne|Stephan Schleberger|Simone Mori|Zoltán Juhász|Su-Jin Kang|Gabriel Ortiz|Alexandre Moreno|Marjolaine Poulain|Hiromi Tsuru|Dorothy Elias-Fahn|Stella Musy|Susanne Dobrusskin|Eszter Nyírő|Sylvia Salustti|Bérangère Jean|Georgina Sánchez|Satsuki Yukino|Perla Liberatori|Lia Sargent|Katja Liebing|Kitty Mezei|Jeong-Sin Wu|Christiane Monteiro|Naïké Fauveau|Mónica Pavon|Toshihiko Seki|Richard Cansino|Roland Tóth|Philipp Schepmann|Clécio Souto|Mathieu Rivolier|Gerry Meza|Vittorio De Angelis|Shou Hayami|Massimo De Ambrosis|Jeff Nimoy|Simon T. Roden|Christiano Torreão|Balázs Láng|Carlos Hugo Hidalgo|Constantin Pappas|Aya Hisakawa|Bridget Hoffman|Flavia Fontenelle|Adriana Casas|Nathalie Homs|Maria Letizia Scifoni|Joshua Seth|Tooru Furusawa|Kirk Baily|Júlio Chaves|Rubén León|Sandro Acerbo|Bill Timoney|Mona Marshall|Rica Matsumoto|Csongor Szalay|Jeong-Hwa Yang|Maximiliane Häcke|Manolo Rey|Simone Crisari|Hiroshi Kamiya|Derek Prince|Norman Matt|Luisa Palomanes|Samir Murad|Susan Sindberg|Fabrizio Manfredi|Akio Ootsuka|Kirk Thornton|Volker Wolf|Eduardo  Dascar|Michele Gammino|Hirotaka Suzuoki|Dan Woren|Gregor Höppner|Elcio Romar|Gérard Rouzier|Riccardo Rossi|Tomohiro Nishimura|Steve Bulen|José Gilberto Vilchis|Markus Pfeiffer|Marco Moreira|Yann Pichon|Maurizio Fiorentini|Youko Soumi|Carol Stanzione|Michaela Kametz|Guilene Conte|Giuseppina Dragani|Ryou Horikawa|Dieter Maise|Maurício Berger|Lex Lang|Emmanuel Fouquet|Giorgio Lopez|Masuo Amada|Peter Spellos|Róbert Bolla|Hans Bayer|Waldyr Sant'anna|Angelo Nicotra|Kaneta Kimotsuki|Milt Jamin|José Santana|Vittorio Stagni|Keiichi Nanba|Renier Baaken|Jonathan Fahn|Anderson Coutinho|Emmanuel Gradi|Roberto Chevalier|Unshou Ishizuka|Michael Gregory|Attila Király|Rolf Berg|Jorge Lucas|Nino Prester|Daisuke Gouri|Joe Romersa|Alain Floret|Glauco Onorato|Hélio Ribeiro|Oziel Monteiro|Miki Itou|Tanja Schmitz|Mary Elizabeth McGlynn|Telma da Costa|Silvia Tognoloni|Maya Okamoto|Carla Pompílio|Stefanella Marrama|Tomoko Ishimura|Rosane  Correa|Patricia Legrand|Rossella Acerbo,TV,26.0,24.0,80,159711.0,MANGA,JP,False,4.0,1.0,"[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Sci-Fi""]","[{""id"": 7, ""isMain"": true, ""node"": {""id"": 11, ""name"": ""MADHOUSE"", ""isAnimationStudio"": true}}, {""id"": 30674, ""isMain"": false, ""node"": {""id"": 6887, ""name"": ""Nippon Victor"", ""isAnimationStudio"": false}}, {""id"": 30675, ""isMain"": false, ""node"": {""id"": 7004, ""name"": ""Arts Pro"", ""isAnimationStudio"": false}}, {""id"": 30676, ""isMain"": false, ""node"": {""id"": 102, ""name"": ""Funimation"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1998,2
21,ONE PIECE,ONE PIECE,ONE PIECE,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.<br><br>
Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.<br><br>
<b>*This includes following special episodes:</b><br>
- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)<br>
- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)<br>
- Team Formation! Save Chopper (Episode 542)<br>
- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)<br>
- 20th Anniversary! Special Romance Dawn (Episode 907)",Mayumi Tanaka|Colleen Clinkenbeard|Renato Novara|Luigi Rosa|Carol Valença|Daniel Schlauch|Jaime Roca|Erica Schroeder|Pepa Agudo|Su-Jin Kang|Chuck Powers|Stéphane Excoffier|Vagner Fagundes|Vinícius Fagundes|Mireya Mendoza|Ma Zink|Diana Pérez|Karina Altamirano|Vincent Barazzoni|Yuriko Yamaguchi|Stephanie Young|Veronica Taylor|Yuuko Kobayashi|Simone Brahmann|Samira Fernandes|Rosa Campillo|So-Yeon|Anzu Nagai|Marcha Van Boven|Angélica Santos|Kerygma Flores|Patrizia Scianca|Jad Saxton|Natasha Parker|Gigi Patta|Céline Melloul|Marie Nonnenmacher|Fabienne Loriaux|Kazuya Nakai|Christopher Sabat|Cynthia Cranz|Patrizio Prata|Marc Diraison|Glauco Marques|Philipp Brammer|Megumi Urawa|Tony Beck|Yoram Yosefsberg|Jorge Saudinós|Seung-Jun Kim|Christophe Hespel|Brian Zimmerman|Uwe Thomsen|Marcelo Campos|Marina Santana|Dafnis Fernández|Brina Palencia|Andrew Rannells|Alfredo Gabriel Basurto|Jared Mendoza|Antoine Nouel|Alain Eloy|Patrick Noérie|Kazuki Yao|Junko Noda|Patrick Seitz|Riccardo Rovatti|Terri Doty|Miguel Angel Perez|Ju-Chang Lee|Frank Engelhardt|Duda Ribeiro|Victor Hugo Fernandes|Bruno Magne|Martin Spinhayer|Manuel Campuzano|Subaru Kimura|Hiroaki Hirata|Ikue Ootani|Eric Vale|Christine Auten|Paul Pistore|Lorenzo Scattorin|Wendel Bezerra|David Moo|Diana Torres|Hubertus von Lerchenfeld|Alfredo Martínez|Seok-Jeong Yang|Il Kim|Joseph Murray|Olivier Cuvellier|Gabriel Martins|Noé Velázquez|Oliver Díaz|Julie Basecqz|Sophie Landresse|Kazue Ikura|Lisa Ortiz|Federica Valenti|Florian Halm|Emlyn Morinelli|Nallely Solís|Luis Vicente Ivars|Agatha Paulita|Affonso Amajones|Fábio Lucindo|Marie Van Ermengem|Akemi Okamura|Luci Christian|Wakana Yamazaki|Emanuela Pacotto|Tatiane Keplmair|Bárbara Lourenço|Mi-Sook Jeong|Kerry Williams|Stephanie Kellner|Georgina Sánchez|Alison Lester|Delphine Moriau|Kelly Marot|Chio Su Ping|Cindy Creekmore|Luiza Porto|Naïké Fauveau|Kappei Yamaguchi|Sonny Strait|Adrian Tatini|Jason Griffith|Dirk Meyer|Luca Bottale|Pepe Carabias|In-Seong O|Gilad Kletter|Jean-Pierre Denuit|Rodrigo Andreatto|Alejandro Orozco|Marco Aurélio Campos|Marc Bretonnière|Mike McFarland|Shigeru Chiba|David Wills|Fábio de Castro|Mathieu Moreau|Micha Morim|Élcio Sodré|Gudo Hoegel|Gabriel Ortiz|Martial Le Minoux|Benjamin Thomas|Giorgio Bonino|Misa Watanabe|Caitlin Glass|Elisabetta Spinelli|Fernanda Bullara|Nell Balaban|Kathrin Gaube|Melissa Garcia|Lourdes Arruti|Valenthina Rodarte|Shuuichi Ikeda|Brandon Potter|Leopoldo Ballesteros|Si-Ho Hong|Christian J. Lee|Sílvio Giraldi|Raúl Anaya|Martin Halm|Paolo Sesana|Nicolas Matthys|Philippe Roullier|Bruno Mullenaerts|Antoine Tomé|Nobunaga Shimazaki|Aaron Dismuke|Toshiyuki Morikawa|J. Michael Tatum|Luis Bajo|Garcia Júnior|Stephan Hoffmann|Takeshi Aono|John Gremillion|Gianluca Iacono|Hirohiko Kakegawa|Ettore Zuim|Matthias Klie|Luiz Antonio Lobue|Esteban Desco|Jorge Badillo|Yann Pichon|Travis Willingham|Daisuke Sakaguchi|Toshio Furukawa|Diego Sabre|Jose Maria Carrero|Jang Kim|Myeong-Jun Jeong|Pascal Breuer|Dwayne Tan|Arturo Cataño|Roberto Mendiola|David Manet|Bruno Méyère|Pierre Le Bec|Vitor Mello|Kouichi Hashimoto|Kent Williams|Ricardo Sawaya|Juan Carlos Lozano|Gary Littman|Efron Etkin|Wellington Lima|Armando Coria|Walter von Hauff|Claudio Moneta|Wataru Takagi|Justin Cook|Oliver Mink|Dado Monteiro|Jérome Keen|Patrick Waleffe|Gabriele Calindri|Luis Navarro|John Swasey|Ryuuzaburou Ootomo|David Brimmer|Salvador Serrano|Francisco Junior|Sebastián Llapur|Frank Röth|Andreas Borcherding|Thierry Janssen|Stefano Albertini|Alessandro D'Errico|Dario Oppido|Emerson Camargo|Monica Rial|Jussara Marques|Rosa Vivas|Seon-Hye Kim|Maren Rainer|Liliana Barba|Gea Riva|Elise Huwart|Kinryuu Arimoto|R. Bruce Elliott|Antônio Moreno|Manfred Erdmann|Marc Alfos|Jean-François Pages|Marco Balbi|Juan Carlos Tinoco|Josef Vossenkuhl|Jason Douglas|Takehito Koyasu|Marco Balzarotti|Won-Hyeong Choi|Ole Pfennig|César Marchetti|Eric Peter|Carlos Hernández|Giovanni Battezzato|Greg Dulcie|Mahito Ooba|Ginzou Matsuo|Scott Rayow|Cassius Romero|Wan-Gyeong Seong|Simcha Barbiro|Dan Osorio|Ekkehardt Belle|Jean-Marc Delhausse|Didier Cherbuy|Hideyuki Tanaka|Robert McCollum|Oliviero Corbetta|Alexandre Marconato|Gerhard Acktun|Jochen Bendel|Jakob Riedl|Maurizio Merluzzo|Eric Misoffe|Christian Strempler|Tomoe Hanba|Akio Ootsuka|Cole Brown|Fernando Hernandez|Vanderlan Mendes|Chris Rager|Christoph Jablonka|Mario Zucca|Gérard Boucaron|Carlos Segundo|Fukushi Ochiai|Nobuyuki Hiyama|Duncan Brannan|Maurizio Scattorin|Francisco Brêtas|Manfred Trilling|Nacho Rodríguez|Emmanuel Liénart|Masako Nozawa|Maddie Blaustein|Julie Mayfield|Julia Martinez Marin|Karen Ramalho|Cecília Lemes|Dagmar Heller|Laura Torres|Lorella De Luca|Caterina Rochira|Danièle Hazan|Myriam Thyrion,TV,13.0,24.0,85,231528.9000000004,MANGA,JP,False,10.0,20.0,"[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy""]","[{""id"": 37, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}, {""id"": 38, ""isMain"": false, ""node"": {""id"": 102, ""name"": ""Funimation"", ""isAnimationStudio"": false}}, {""id"": 39, ""isMain"": false, ""node"": {""id"": 169, ""name"": ""Fuji TV"", ""isAnimationStudio"": false}}, {""id"": 40, ""isMain"": false, ""node"": {""id"": 2524, ""name"": ""4Kids Entertainment"", ""isAnimationStudio"": false}}, {""id"": 41, ""isMain"": false, ""node"": {""id"": 416, ""name"": ""TAP"", ""isAnimationStudio"": true}}, {""id"": 19929, ""isMain"": false, ""node"": {""id"": 142, ""name"": ""Asatsu DK"", ""isAnimationStudio"": false}}, {""id"": 19930, ""isMain"": false, ""node"": {""id"": 207, ""name"": ""Magic Bus"", ""isAnimationStudio"": true}}, {""id"": 19931, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}, {""id"": 19932, ""isMain"": false, ""node"": {""id"": 6291, ""name"": ""Studio Guts"", ""isAnimationStudio"": true}}, {""id"": 19947, ""isMain"": false, ""node"": {""id"": 406, ""name"": ""Asahi Production"", ""isAnimationStudio"": true}}, {""id"": 32163, ""isMain"": false, ""node"": {""id"": 6429, ""name"": ""Avex Pictures"", ""isAnimationStudio"": false}}]",True,False,1,24270.0,76.0,1999,4
